PL,method_function,Approach,COG,CYC,pair_id
C/C++,ssh_agent_get_ident_count,ORIG,11,12,C/C++_01
C/C++,ssh_agent_get_ident_count,DEV,11,12,C/C++_01
C/C++,ssh_agent_get_ident_count,FLAG,10,11,C/C++_01
C/C++,ssh_agent_sign_data,ORIG,18,18,C/C++_02
C/C++,ssh_agent_sign_data,DEV,18,18,C/C++_02
C/C++,ssh_agent_sign_data,FLAG,17,17,C/C++_02
C/C++,SSH_PACKET_CALLBACK,ORIG,6,5,C/C++_03
C/C++,SSH_PACKET_CALLBACK,DEV,6,5,C/C++_03
C/C++,SSH_PACKET_CALLBACK,FLAG,3,4,C/C++_03
C/C++,ssh_userauth_agent_pubkey,ORIG,7,6,C/C++_04
C/C++,ssh_userauth_agent_pubkey,DEV,7,6,C/C++_04
C/C++,ssh_userauth_agent_pubkey,FLAG,1,2,C/C++_04
C/C++,ssh_userauth_gssapi,ORIG,13,10,C/C++_05
C/C++,ssh_userauth_gssapi,DEV,13,10,C/C++_05
C/C++,ssh_userauth_gssapi,FLAG,7,9,C/C++_05
C/C++,ssh_make_bignum_string,ORIG,6,7,C/C++_06
C/C++,ssh_make_bignum_string,DEV,6,7,C/C++_06
C/C++,ssh_make_bignum_string,FLAG,5,6,C/C++_06
C/C++,ssh_make_string_bn,ORIG,1,2,C/C++_07
C/C++,ssh_make_string_bn,DEV,1,2,C/C++_07
C/C++,ssh_make_string_bn,FLAG,0,1,C/C++_07
C/C++,ssh_print_bignum,ORIG,5,6,C/C++_08
C/C++,ssh_print_bignum,DEV,5,6,C/C++_08
C/C++,ssh_print_bignum,FLAG,2,3,C/C++_08
C/C++,_ssh_finalize,ORIG,13,9,C/C++_09
C/C++,_ssh_finalize,DEV,13,9,C/C++_09
C/C++,_ssh_finalize,FLAG,10,7,C/C++_09
C/C++,ssh_bind_import_keys,ORIG,38,27,C/C++_10
C/C++,ssh_bind_import_keys,DEV,38,27,C/C++_10
C/C++,ssh_bind_import_keys,FLAG,30,25,C/C++_10
C/C++,ssh_bind_listen,ORIG,2,3,C/C++_11
C/C++,ssh_bind_listen,DEV,2,3,C/C++_11
C/C++,ssh_bind_listen,FLAG,1,2,C/C++_11
C/C++,ssh_bind_accept_fd,ORIG,52,33,C/C++_12
C/C++,ssh_bind_accept_fd,DEV,52,33,C/C++_12
C/C++,ssh_bind_accept_fd,FLAG,46,31,C/C++_12
C/C++,SSH_PACKET_CALLBACK,ORIG,24,16,C/C++_13
C/C++,SSH_PACKET_CALLBACK,DEV,24,16,C/C++_13
C/C++,SSH_PACKET_CALLBACK,FLAG,22,15,C/C++_13
C/C++,ssh_channel_accept,ORIG,36,13,C/C++_14
C/C++,ssh_channel_accept,DEV,36,13,C/C++_14
C/C++,ssh_channel_accept,FLAG,31,11,C/C++_14
C/C++,callback_receive_banner,ORIG,22,11,C/C++_15
C/C++,callback_receive_banner,DEV,22,11,C/C++_15
C/C++,callback_receive_banner,FLAG,19,10,C/C++_15
C/C++,ssh_send_banner,ORIG,21,9,C/C++_16
C/C++,ssh_send_banner,DEV,21,9,C/C++_16
C/C++,ssh_send_banner,FLAG,19,8,C/C++_16
C/C++,ssh_connect,ORIG,34,26,C/C++_17
C/C++,ssh_connect,DEV,34,25,C/C++_17
C/C++,ssh_connect,FLAG,34,25,C/C++_17
C/C++,ssh_userauth_pubkey,ORIG,7,6,C/C++_18
C/C++,ssh_userauth_pubkey,DEV,7,6,C/C++_18
C/C++,ssh_userauth_pubkey,FLAG,1,2,C/C++_18
C/C++,ssh_connect_socket_close,ORIG,2,2,C/C++_19
C/C++,ssh_connect_socket_close,DEV,2,2,C/C++_19
C/C++,ssh_connect_socket_close,FLAG,0,1,C/C++_19
C/C++,getai,ORIG,5,4,C/C++_20
C/C++,getai,DEV,5,4,C/C++_20
C/C++,getai,FLAG,3,3,C/C++_20
C/C++,ssh_connector_fd_is_socket,ORIG,8,5,C/C++_21
C/C++,ssh_connector_fd_is_socket,DEV,8,5,C/C++_21
C/C++,ssh_connector_fd_is_socket,FLAG,2,3,C/C++_21
C/C++,ssh_connector_fd_write,ORIG,3,3,C/C++_22
C/C++,ssh_connector_fd_write,DEV,3,3,C/C++_22
C/C++,ssh_connector_fd_write,FLAG,2,2,C/C++_22
C/C++,ssh_curve25519_init,ORIG,21,11,C/C++_23
