PL,method_function,Approach,COG,CYC,pair_id
Golang,declareFixedRoles,ORIG,5,6,Golang_01
Golang,declareFixedRoles,DEV,5,6,Golang_01
Golang,declareFixedRoles,FLAG,2,3,Golang_01
Golang,PostAnnotation,ORIG,14,11,Golang_02
Golang,PostAnnotation,DEV,14,11,Golang_02
Golang,PostAnnotation,FLAG,13,10,Golang_02
Golang,UpdateAnnotation,ORIG,9,9,Golang_03
Golang,UpdateAnnotation,DEV,9,9,Golang_03
Golang,UpdateAnnotation,FLAG,7,8,Golang_03
Golang,PatchAnnotation,ORIG,16,16,Golang_04
Golang,PatchAnnotation,DEV,16,16,Golang_04
Golang,PatchAnnotation,FLAG,14,15,Golang_04
Golang,MassDeleteAnnotations,ORIG,19,15,Golang_05
Golang,MassDeleteAnnotations,DEV,19,15,Golang_05
Golang,MassDeleteAnnotations,FLAG,18,14,Golang_05
Golang,DeleteAnnotationByID,ORIG,8,7,Golang_06
Golang,DeleteAnnotationByID,DEV,8,7,Golang_06
Golang,DeleteAnnotationByID,FLAG,5,6,Golang_06
Golang,AnnotationTypeScopeResolver,ORIG,28,13,Golang_07
Golang,AnnotationTypeScopeResolver,DEV,28,13,Golang_07
Golang,AnnotationTypeScopeResolver,FLAG,23,11,Golang_07
Golang,canCreateAnnotation,ORIG,9,6,Golang_08
Golang,canCreateAnnotation,DEV,9,6,Golang_08
Golang,canCreateAnnotation,FLAG,5,4,Golang_08
Golang,canMassDeleteAnnotations,ORIG,12,8,Golang_09
Golang,canMassDeleteAnnotations,DEV,12,8,Golang_09
Golang,canMassDeleteAnnotations,FLAG,8,6,Golang_09
Golang,registerRoutes,ORIG,29,26,Golang_10
Golang,registerRoutes,DEV,29,26,Golang_10
Golang,registerRoutes,FLAG,10,16,Golang_10
Golang,getCreatedSnapshotHandler,ORIG,5,4,Golang_11
Golang,getCreatedSnapshotHandler,DEV,5,4,Golang_11
Golang,getCreatedSnapshotHandler,FLAG,3,3,Golang_11
Golang,GetDashboard,ORIG,49,34,Golang_12
Golang,GetDashboard,DEV,49,34,Golang_12
Golang,GetDashboard,FLAG,45,31,Golang_12
Golang,deleteDashboard,ORIG,20,14,Golang_13
Golang,deleteDashboard,DEV,20,14,Golang_13
Golang,deleteDashboard,FLAG,15,12,Golang_13
Golang,getDSQueryEndpoint,ORIG,5,4,Golang_14
Golang,getDSQueryEndpoint,DEV,5,4,Golang_14
Golang,getDSQueryEndpoint,FLAG,3,3,Golang_14
Golang,GetFolders,ORIG,7,6,Golang_15
Golang,GetFolders,DEV,7,6,Golang_15
Golang,GetFolders,FLAG,3,4,Golang_15
Golang,CreateFolder,ORIG,6,6,Golang_16
Golang,CreateFolder,DEV,6,6,Golang_16
Golang,CreateFolder,FLAG,4,5,Golang_16
Golang,setDefaultFolderPermissions,ORIG,6,6,Golang_17
Golang,setDefaultFolderPermissions,DEV,6,6,Golang_17
Golang,setDefaultFolderPermissions,FLAG,5,5,Golang_17
Golang,MoveFolder,ORIG,7,5,Golang_18
Golang,MoveFolder,DEV,7,5,Golang_18
Golang,MoveFolder,FLAG,3,4,Golang_18
Golang,newToFolderDto,ORIG,17,10,Golang_19
Golang,newToFolderDto,DEV,17,10,Golang_19
Golang,newToFolderDto,FLAG,16,9,Golang_19
Golang,getFrontendSettings,ORIG,48,39,Golang_20
Golang,getFrontendSettings,DEV,48,39,Golang_20
Golang,getFrontendSettings,FLAG,44,35,Golang_20
Golang,setIndexViewData,ORIG,16,16,Golang_21
Golang,setIndexViewData,DEV,16,16,Golang_21
Golang,setIndexViewData,FLAG,14,15,Golang_21
Golang,getThemeForIndexData,ORIG,6,7,Golang_22
Golang,getThemeForIndexData,DEV,6,7,Golang_22
Golang,getThemeForIndexData,FLAG,5,5,Golang_22
Golang,OAuthLogin,ORIG,9,7,Golang_23
Golang,OAuthLogin,DEV,9,7,Golang_23
Golang,OAuthLogin,FLAG,7,6,Golang_23
Golang,tryAutoLogin,ORIG,19,15,Golang_24
Golang,tryAutoLogin,DEV,19,15,Golang_24
Golang,tryAutoLogin,FLAG,14,13,Golang_24
Golang,redirectURLWithErrorCookie,ORIG,12,8,Golang_25
Golang,redirectURLWithErrorCookie,DEV,12,8,Golang_25
Golang,redirectURLWithErrorCookie,FLAG,8,7,Golang_25
Golang,registerPlaylistAPI,ORIG,3,2,Golang_26
Golang,registerPlaylistAPI,DEV,3,2,Golang_26
Golang,registerPlaylistAPI,FLAG,0,1,Golang_26
Golang,GetPluginList,ORIG,39,28,Golang_27
Golang,GetPluginList,DEV,39,28,Golang_27
Golang,GetPluginList,FLAG,38,27,Golang_27
Golang,InstallPlugin,ORIG,11,9,Golang_28
Golang,InstallPlugin,DEV,11,9,Golang_28
Golang,InstallPlugin,FLAG,10,8,Golang_28
Golang,HandleRequest,ORIG,16,12,Golang_29
Golang,HandleRequest,DEV,16,12,Golang_29
Golang,HandleRequest,FLAG,16,12,Golang_29
Golang,buildCMDNode,ORIG,13,15,Golang_30
Golang,buildCMDNode,DEV,13,15,Golang_30
Golang,buildCMDNode,FLAG,5,6,Golang_30
