PL,method_function,Approach,COG,CYC,pair_id
Java,importUserToKeycloak,ORIG,4,4,Java_01
Java,importUserToKeycloak,DEV,4,4,Java_01
Java,importUserToKeycloak,FLAG,2,3,Java_01
Java,toClientModel,ORIG,1,2,Java_02
Java,toClientModel,DEV,1,2,Java_02
Java,toClientModel,FLAG,0,1,Java_02
Java,createOrganizationAwareIdentityProviderModel,ORIG,7,2,Java_03
Java,createOrganizationAwareIdentityProviderModel,DEV,7,2,Java_03
Java,createOrganizationAwareIdentityProviderModel,FLAG,6,1,Java_03
Java,getAuthenticatedUser,ORIG,9,5,Java_04
Java,getAuthenticatedUser,DEV,9,5,Java_04
Java,getAuthenticatedUser,FLAG,4,3,Java_04
Java,wrap,ORIG,8,5,Java_05
Java,wrap,DEV,8,5,Java_05
Java,wrap,FLAG,7,4,Java_05
Java,wrap,ORIG,6,4,Java_06
Java,wrap,DEV,6,4,Java_06
Java,wrap,FLAG,5,3,Java_06
Java,initUserSessionUpdater,ORIG,7,5,Java_07
Java,initUserSessionUpdater,DEV,7,5,Java_07
Java,initUserSessionUpdater,FLAG,6,4,Java_07
Java,postInit,ORIG,9,2,Java_08
Java,postInit,DEV,9,2,Java_08
Java,postInit,FLAG,6,1,Java_08
Java,toClientModel,ORIG,2,2,Java_09
Java,toClientModel,DEV,2,2,Java_09
Java,toClientModel,FLAG,0,1,Java_09
Java,getGroupsCount,ORIG,3,3,Java_10
Java,getGroupsCount,DEV,3,3,Java_10
Java,getGroupsCount,FLAG,1,2,Java_10
Java,extractTokenStringFromAuthHeader,ORIG,10,8,Java_11
Java,extractTokenStringFromAuthHeader,DEV,10,8,Java_11
Java,extractTokenStringFromAuthHeader,FLAG,5,6,Java_11
Java,exportClient,ORIG,1,2,Java_12
Java,exportClient,DEV,1,2,Java_12
Java,exportClient,FLAG,0,1,Java_12
Java,migrate,ORIG,1,2,Java_13
Java,migrate,DEV,1,2,Java_13
Java,migrate,FLAG,0,1,Java_13
Java,migrateRealm,ORIG,3,3,Java_14
Java,migrateRealm,DEV,3,3,Java_14
Java,migrateRealm,FLAG,1,2,Java_14
Java,isReadOnlyOrganizationMember,ORIG,6,4,Java_15
Java,isReadOnlyOrganizationMember,DEV,6,4,Java_15
Java,isReadOnlyOrganizationMember,FLAG,5,3,Java_15
Java,createClients,ORIG,9,6,Java_16
Java,createClients,DEV,9,6,Java_16
Java,createClients,FLAG,6,5,Java_16
Java,importOrganizations,ORIG,14,6,Java_17
Java,importOrganizations,DEV,14,6,Java_17
Java,importOrganizations,FLAG,9,5,Java_17
Java,configureResteasy,ORIG,3,4,Java_18
Java,configureResteasy,DEV,3,4,Java_18
Java,configureResteasy,FLAG,2,3,Java_18
Java,setCryptoProvider,ORIG,4,5,Java_19
Java,setCryptoProvider,DEV,4,5,Java_19
Java,setCryptoProvider,FLAG,2,3,Java_19
Java,run,ORIG,1,2,Java_20
Java,run,DEV,1,2,Java_20
Java,run,FLAG,0,1,Java_20
Java,resolveFipsMode,ORIG,3,3,Java_21
Java,resolveFipsMode,DEV,3,3,Java_21
Java,resolveFipsMode,FLAG,1,2,Java_21
Java,checkForRemoteStores,ORIG,7,7,Java_22
Java,checkForRemoteStores,DEV,7,7,Java_22
Java,checkForRemoteStores,FLAG,1,2,Java_22
Java,listAvailableClientScopeRoleMappings,ORIG,6,4,Java_23
Java,listAvailableClientScopeRoleMappings,DEV,6,4,Java_23
Java,listAvailableClientScopeRoleMappings,FLAG,5,3,Java_23
Java,listAvailableClientRoleMappings,ORIG,6,4,Java_24
Java,listAvailableClientRoleMappings,DEV,6,4,Java_24
Java,listAvailableClientRoleMappings,FLAG,5,3,Java_24
Java,listAvailableGroupRoleMappings,ORIG,6,4,Java_25
Java,listAvailableGroupRoleMappings,DEV,6,4,Java_25
Java,listAvailableGroupRoleMappings,FLAG,5,3,Java_25
Java,listAvailableUserRoleMappings,ORIG,6,4,Java_26
Java,listAvailableUserRoleMappings,DEV,6,4,Java_26
Java,listAvailableUserRoleMappings,FLAG,5,3,Java_26
Java,listAvailableRoleMappings,ORIG,3,3,Java_27
Java,listAvailableRoleMappings,DEV,3,3,Java_27
Java,listAvailableRoleMappings,FLAG,2,2,Java_27
Java,getDefaultThemeName,ORIG,8,9,Java_28
Java,getDefaultThemeName,DEV,8,9,Java_28
Java,getDefaultThemeName,FLAG,5,6,Java_28
Java,addOrganizationFirstBrokerFlowStep,ORIG,2,3,Java_29
Java,addOrganizationFirstBrokerFlowStep,DEV,2,3,Java_29
Java,addOrganizationFirstBrokerFlowStep,FLAG,1,2,Java_29
Java,addOrganizationBrowserFlowStep,ORIG,2,3,Java_30
Java,addOrganizationBrowserFlowStep,DEV,2,3,Java_30
Java,addOrganizationBrowserFlowStep,FLAG,1,2,Java_30
