PL,method_function,Approach,COG,CYC,pair_id
Python,register_page_view,ORIG,2,3,Python_01
Python,register_page_view,DEV,2,3,Python_01
Python,register_page_view,FLAG,1,2,Python_01
Python,__init__,ORIG,7,7,Python_02
Python,__init__,DEV,7,7,Python_02
Python,__init__,FLAG,6,6,Python_02
Python,trigger_sync_versions,ORIG,4,4,Python_03
Python,trigger_sync_versions,DEV,4,4,Python_03
Python,trigger_sync_versions,FLAG,3,3,Python_03
Python,save,ORIG,3,3,Python_04
Python,save,DEV,3,3,Python_04
Python,save,FLAG,1,2,Python_04
Python,install_requirements_file,ORIG,3,3,Python_05
Python,install_requirements_file,DEV,3,3,Python_05
Python,install_requirements_file,FLAG,1,2,Python_05
Python,__init__,ORIG,2,3,Python_06
Python,__init__,DEV,2,3,Python_06
Python,__init__,FLAG,1,2,Python_06
Python,__init__,ORIG,10,9,Python_07
Python,__init__,DEV,10,9,Python_07
Python,__init__,FLAG,9,8,Python_07
Python,proxied_api_prefix,ORIG,2,3,Python_08
Python,proxied_api_prefix,DEV,2,3,Python_08
Python,proxied_api_prefix,FLAG,1,2,Python_08
Python,get_git_service_class,ORIG,4,5,Python_09
Python,get_git_service_class,DEV,4,5,Python_09
Python,get_git_service_class,FLAG,3,4,Python_09
Python,get_feature_value,ORIG,1,2,Python_10
Python,get_feature_value,DEV,1,2,Python_10
Python,get_feature_value,FLAG,0,1,Python_10
Python,before_start,ORIG,2,3,Python_11
Python,before_start,DEV,2,3,Python_11
Python,before_start,FLAG,1,2,Python_11
Python,after_return,ORIG,5,4,Python_12
Python,after_return,DEV,5,4,Python_12
Python,after_return,FLAG,4,3,Python_12
Python,get_context_data,ORIG,2,3,Python_13
Python,get_context_data,DEV,2,3,Python_13
Python,get_context_data,FLAG,1,2,Python_13
Python,_register_broken_link,ORIG,4,4,Python_14
Python,_register_broken_link,DEV,4,4,Python_14
Python,_register_broken_link,FLAG,3,3,Python_14
Python,_get_summaries,ORIG,9,7,Python_15
Python,_get_summaries,DEV,9,7,Python_15
Python,_get_summaries,FLAG,7,6,Python_15
Python,get_activity_types,ORIG,1,2,Python_16
Python,get_activity_types,DEV,1,2,Python_16
Python,get_activity_types,FLAG,0,1,Python_16
Python,dispatch,ORIG,2,3,Python_17
Python,dispatch,DEV,2,3,Python_17
Python,dispatch,FLAG,1,2,Python_17
Python,get_default_data,ORIG,2,3,Python_18
Python,get_default_data,DEV,2,3,Python_18
Python,get_default_data,FLAG,1,2,Python_18
Python,get_table_items,ORIG,14,8,Python_19
Python,get_table_items,DEV,14,8,Python_19
Python,get_table_items,FLAG,7,5,Python_19
Python,get_context_data,ORIG,4,5,Python_20
Python,get_context_data,DEV,4,5,Python_20
Python,get_context_data,FLAG,3,4,Python_20
Python,get_data,ORIG,7,8,Python_21
Python,get_data,DEV,7,8,Python_21
Python,get_data,FLAG,5,7,Python_21
Python,get_utm_source_for_user,ORIG,4,4,Python_22
Python,get_utm_source_for_user,DEV,4,4,Python_22
Python,get_utm_source_for_user,FLAG,3,3,Python_22
Python,save,ORIG,1,2,Python_23
Python,save,DEV,1,2,Python_23
Python,save,FLAG,0,1,Python_23
Python,publish_obj,ORIG,12,8,Python_24
Python,publish_obj,DEV,12,8,Python_24
Python,publish_obj,FLAG,11,8,Python_24
Python,handle,ORIG,39,18,Python_25
Python,handle,DEV,39,18,Python_25
Python,handle,FLAG,25,14,Python_25
Python,,ORIG,1,2,Python_26
Python,,DEV,1,2,Python_26
Python,,FLAG,0,1,Python_26
Python,_resize_video,ORIG,12,8,Python_27
Python,_resize_video,DEV,12,8,Python_27
Python,_resize_video,FLAG,5,4,Python_27
Python,verify_app_domain,ORIG,6,5,Python_28
Python,verify_app_domain,DEV,6,5,Python_28
Python,verify_app_domain,FLAG,5,4,Python_28
Python,_upload_manifest,ORIG,13,8,Python_29
Python,_upload_manifest,DEV,13,8,Python_29
Python,_upload_manifest,FLAG,12,7,Python_29
Python,cspreport,ORIG,2,3,Python_30
Python,cspreport,DEV,2,3,Python_30
Python,cspreport,FLAG,1,2,Python_30
